ID,Title,Nodes,Edges
1,Artificial_Intelligence/Vision_and_Pattern_Recognition,936,1786
2,Operating_Systems/Distributed,821,2389
3,Data_Structures__Algorithms_and_Theory/Randomized,257,590
4,Data_Structures__Algorithms_and_Theory/Parallel,444,698
5,Programming/Compiler_Design,751,2540
6,Networking/Protocols,610,1651
7,Encryption_and_Compression/Compression,336,399
8,Human_Computer_Interaction/Graphics_and_Virtual_Reality,672,1443
9,Artificial_Intelligence/Machine_Learning,3672,11093
10,Artificial_Intelligence/Knowledge_Representation,285,531
11,Artificial_Intelligence/Planning,651,1767
12,Databases/Deductive,130,403
13,Data_Structures__Algorithms_and_Theory/Sorting,181,253
14,Human_Computer_Interaction/Multimedia,363,580
15,Databases/Query_Evaluation,149,238
16,Databases/Performance,156,137
17,Artificial_Intelligence/Games_and_Search,466,849
18,Artificial_Intelligence/Data_Mining,267,909
19,Programming/Logic,403,823
20,Programming/Object_Oriented,365,1147
21,Networking/Wireless,127,201
22,Networking/Routing,358,625
23,Data_Structures__Algorithms_and_Theory/Quantum_Computing,78,95
24,Operating_Systems/Memory_Management,921,4235
25,Databases/Object_Oriented,321,666
26,Artificial_Intelligence/Robotics,730,1619
27,Data_Structures__Algorithms_and_Theory/Logic,182,253
28,Artificial_Intelligence/Speech,412,728
29,Artificial_Intelligence/Agents,621,1412
30,Programming/Debugging,381,649
31,Operating_Systems/Fault_Tolerance,188,221
32,Encryption_and_Compression/Encryption,465,1261
33,Encryption_and_Compression/Security,184,209
34,Data_Structures__Algorithms_and_Theory/Formal_Languages,167,280
35,Hardware_and_Architecture/Logic_Design,314,543
36,Programming/Functional,354,531
37,Information_Retrieval/Filtering,54,128
38,Artificial_Intelligence/Theorem_Proving,422,1025
39,Hardware_and_Architecture/VLSI,229,512
40,Databases/Relational,136,185
41,Hardware_and_Architecture/Microprogramming,30,56
42,Operating_Systems/Realtime,436,584
43,Data_Structures__Algorithms_and_Theory/Computational_Complexity,456,707
44,Data_Structures__Algorithms_and_Theory/Computational_Geometry,314,428
45,Artificial_Intelligence/NLP,406,653
46,Programming/Software_Development,582,817
47,Human_Computer_Interaction/Cooperative,91,148
48,Programming/Semantics,125,130
49,Programming/Garbage_Collection,190,758
50,Hardware_and_Architecture/Input_Output_and_Storage,87,134
51,Information_Retrieval/Retrieval,281,481
52,Hardware_and_Architecture/Memory_Structures,133,217
53,Artificial_Intelligence/Expert_Systems,109,49
54,Databases/Temporal,106,179
55,Human_Computer_Interaction/Interface_Design,145,125
56,Networking/Internet,252,486
57,Information_Retrieval/Digital_Library,113,115
58,Programming/Java,246,289
59,Hardware_and_Architecture/High_Performance_Computing,105,55
60,Human_Computer_Interaction/Wearable_Computers,67,57
61,Data_Structures__Algorithms_and_Theory/Hashing,87,31
62,Databases/Concurrency,155,215
63,Hardware_and_Architecture/Distributed_Architectures,19,2
64,Information_Retrieval/Extraction,72,162
